game.awayTeamAbbreviation,game.homeTeamAbbreviation,game.id,game.startTime,stats.defense.blk,stats.defense.blkAgainst,stats.defense.ptsAgainst,stats.defense.stl,stats.defense.tov,stats.fieldGoals.fg2PtAtt,stats.fieldGoals.fg2PtMade,stats.fieldGoals.fg2PtPct,stats.fieldGoals.fg3PtAtt,stats.fieldGoals.fg3PtMade,stats.fieldGoals.fg3PtPct,stats.fieldGoals.fgAtt,stats.fieldGoals.fgMade,stats.fieldGoals.fgPct,stats.freeThrows.ftAtt,stats.freeThrows.ftMade,stats.freeThrows.ftPct,stats.miscellaneous.ejections,stats.miscellaneous.foulFlag1,stats.miscellaneous.foulFlag1Drawn,stats.miscellaneous.foulFlag2,stats.miscellaneous.foulFlag2Drawn,stats.miscellaneous.foulPers,stats.miscellaneous.foulPersDrawn,stats.miscellaneous.foulTech,stats.miscellaneous.foulTechDrawn,stats.miscellaneous.fouls,stats.miscellaneous.foulsDrawn,stats.miscellaneous.plusMinus,stats.offense.ast,stats.offense.pts,stats.rebounds.defReb,stats.rebounds.offReb,stats.rebounds.reb,stats.standings.gamesBack,stats.standings.losses,stats.standings.winPct,stats.standings.wins,team.abbreviation,team.id
PHX,GSW,47616,2018-10-23T02:30:00.000Z,1,4,123,8,21,52,30,57.7,34,9,26.5,86,39,45.4,18,16,88.9,0,0,0,0,0,21,24,21,0,22,24,-20,24,103,36,15,51,0,1,0,0,PHX,104
LAL,PHX,47629,2018-10-25T02:00:00.000Z,4,5,131,4,19,53,34,64.2,31,10,32.3,84,44,52.4,21,15,71.4,0,0,0,0,0,23,19,23,0,24,19,-18,27,113,35,14,49,0,1,0,0,PHX,104
PHX,MEM,47649,2018-10-28T00:00:00.000Z,1,1,117,5,19,45,27,60.0,33,9,27.3,78,36,46.2,19,15,79.0,0,0,0,0,0,25,21,25,0,25,21,-21,28,96,31,10,41,0,1,0,0,PHX,104
PHX,OKL,47654,2018-10-28T23:00:00.000Z,3,3,117,10,22,59,30,50.8,27,8,29.6,86,38,44.2,27,26,96.3,0,0,0,0,0,32,24,32,0,33,24,-7,21,110,35,14,49,0,1,0,0,PHX,104
SAS,PHX,47679,2018-11-01T02:30:00.000Z,3,6,120,10,15,66,29,43.9,24,6,25.0,90,35,38.9,18,14,77.8,0,0,0,0,0,26,15,26,0,26,15,-30,21,90,30,14,44,0,1,0,0,PHX,104
TOR,PHX,47692,2018-11-03T02:00:00.000Z,4,10,107,3,15,65,32,49.2,26,8,30.8,91,40,44.0,18,10,55.6,0,0,0,0,0,18,23,18,0,18,23,-9,20,98,38,23,61,0,1,0,0,PHX,104
MEM,PHX,47706,2018-11-05T01:00:00.000Z,3,3,100,7,24,32,19,59.4,32,14,43.8,64,33,51.6,26,22,84.6,0,0,0,0,0,27,21,27,0,27,21,2,25,102,33,13,46,0,0,1,1,PHX,104
BRO,PHX,47720,2018-11-07T02:00:00.000Z,3,5,104,4,20,56,19,33.9,25,9,36.0,81,28,34.6,20,17,85.0,0,0,0,0,0,20,22,20,0,20,22,-22,16,82,41,15,56,0,1,0,0,PHX,104
BOS,PHX,47733,2018-11-09T02:00:00.000Z,6,6,116,6,16,60,25,41.7,37,14,37.8,97,39,40.2,31,24,77.4,0,0,0,0,0,18,18,18,0,24,18,0,21,116,39,17,56,0,1,0,0,PHX,104
PHX,NOP,47745,2018-11-11T00:00:00.000Z,7,7,119,10,14,50,25,50.0,36,10,27.8,86,35,40.7,20,19,95.0,0,0,0,0,0,27,18,27,0,27,18,-20,16,99,27,10,37,0,1,0,0,PHX,104
PHX,OKL,47765,2018-11-13T01:00:00.000Z,5,6,118,5,18,55,32,58.2,26,7,26.9,81,39,48.2,19,16,84.2,0,0,0,0,0,21,15,21,0,21,15,-17,25,101,27,10,37,0,1,0,0,PHX,104
SAS,PHX,47780,2018-11-15T02:00:00.000Z,4,4,96,9,16,53,32,60.4,31,15,48.4,84,47,56.0,8,7,87.5,0,0,0,0,0,23,12,23,0,23,12,20,27,116,33,5,38,0,0,1,1,PHX,104
OKL,PHX,47802,2018-11-18T02:00:00.000Z,6,7,110,14,14,53,25,47.2,29,12,41.4,82,37,45.1,21,14,66.7,0,0,0,0,0,28,20,28,0,28,20,-10,25,100,27,4,31,0,1,0,0,PHX,104
PHX,PHI,47811,2018-11-20T00:00:00.000Z,4,1,119,9,13,54,31,57.4,33,13,39.4,87,44,50.6,24,13,54.2,0,0,0,0,0,34,27,34,0,34,27,-5,25,114,26,5,31,0,1,0,0,PHX,104
PHX,CHI,47826,2018-11-22T01:00:00.000Z,5,2,124,9,13,64,38,59.4,34,10,29.4,98,48,49.0,10,10,100.0,0,0,0,0,0,20,19,20,0,21,19,-8,28,116,30,6,36,0,1,0,0,PHX,104
PHX,MIL,47844,2018-11-24T01:30:00.000Z,4,7,114,8,11,64,36,56.2,26,9,34.6,90,45,50.0,22,17,77.3,0,0,0,0,0,25,17,25,0,28,17,2,21,116,34,6,40,0,0,1,1,PHX,104
PHX,DET,47856,2018-11-25T21:00:00.000Z,6,0,118,6,17,57,34,59.6,25,8,32.0,82,42,51.2,21,15,71.4,0,0,0,0,0,22,19,22,0,26,19,-11,22,107,32,10,42,0,1,0,0,PHX,104
IND,PHX,47874,2018-11-28T02:00:00.000Z,6,6,109,8,8,62,31,50.0,30,10,33.3,92,41,44.6,18,12,66.7,0,0,0,0,0,17,13,17,0,17,13,-5,20,104,33,12,45,0,1,0,0,PHX,104
PHX,LAC,47884,2018-11-29T03:30:00.000Z,6,7,115,17,16,63,31,49.2,26,8,30.8,89,39,43.8,18,13,72.2,0,0,0,0,0,24,17,24,0,24,17,-16,20,99,27,7,34,0,1,0,0,PHX,104
ORL,PHX,47896,2018-12-01T02:00:00.000Z,0,5,99,5,12,56,27,48.2,28,7,25.0,84,34,40.5,14,10,71.4,0,0,0,0,0,15,16,15,0,17,16,-14,22,85,31,9,40,0,1,0,0,PHX,104
PHX,LAL,47906,2018-12-02T20:30:00.000Z,8,4,120,12,15,60,24,40.0,33,13,39.4,93,37,39.8,11,9,81.8,0,0,0,0,0,22,15,22,0,23,15,-24,24,96,33,7,40,0,1,0,0,PHX,104
SAC,PHX,47922,2018-12-05T02:00:00.000Z,4,3,122,9,21,44,26,59.1,43,12,27.9,87,38,43.7,21,17,81.0,0,0,0,0,0,27,22,27,0,27,22,-17,27,105,30,13,43,0,1,0,0,PHX,104
PHX,POR,47935,2018-12-07T03:00:00.000Z,2,6,108,11,16,64,30,46.9,27,5,18.5,91,35,38.5,14,11,78.6,0,0,0,0,0,21,19,21,0,21,19,-22,20,86,30,11,41,0,1,0,0,PHX,104
MIA,PHX,47945,2018-12-08T02:00:00.000Z,4,5,115,7,20,45,22,48.9,34,14,41.2,79,36,45.6,16,12,75.0,0,0,0,0,0,21,16,21,0,21,16,-17,27,98,38,4,42,0,1,0,0,PHX,104
LAC,PHX,47968,2018-12-11T02:00:00.000Z,8,4,123,14,15,69,38,55.1,25,9,36.0,94,47,50.0,20,16,80.0,0,0,0,0,0,29,21,29,0,32,21,-4,31,119,30,10,40,0,1,0,0,PHX,104
PHX,SAS,47972,2018-12-12T01:30:00.000Z,5,2,111,7,17,54,25,46.3,28,8,28.6,82,33,40.2,14,12,85.7,0,0,0,0,0,22,15,22,0,22,15,-25,19,86,32,8,40,0,1,0,0,PHX,104
POR,PHX,42082,2017-10-19T02:00:00.000Z,7,8,76,8,16,66,30,45.4,24,14,58.3,90,44,48.9,28,22,78.6,0,0,0,0,0,20,22,20,0,20,22,48,22,124,45,27,73,0,0,1,1,POR,97
POR,IND,42088,2017-10-20T23:00:00.000Z,6,4,96,5,9,76,37,48.7,19,9,47.4,95,46,48.4,17,13,76.5,0,0,0,0,0,26,18,26,0,26,18,18,19,114,40,18,58,0,0,1,1,POR,97
POR,MIL,42103,2017-10-22T00:30:00.000Z,6,7,113,10,16,53,23,43.4,27,11,40.7,80,34,42.5,35,31,88.6,0,0,0,0,0,22,23,22,0,23,23,-3,18,110,32,22,54,0,1,0,0,POR,97
NOP,POR,42122,2017-10-25T02:00:00.000Z,7,7,93,7,19,59,23,39.0,29,10,34.5,88,33,37.5,33,27,81.8,0,0,0,0,0,23,26,23,0,23,26,10,17,103,46,21,67,0,0,1,1,POR,97
LAC,POR,42137,2017-10-27T02:00:00.000Z,4,5,104,5,9,58,21,36.2,31,14,45.2,89,35,39.3,22,19,86.4,0,0,0,0,0,26,19,26,0,26,19,-1,19,103,31,23,54,0,1,0,0,POR,97
PHX,POR,42152,2017-10-29T02:00:00.000Z,7,7,107,8,14,65,29,44.6,26,11,42.3,91,40,44.0,28,23,82.1,0,0,0,0,0,26,23,26,0,26,23,7,27,114,42,20,62,0,0,1,1,POR,97
TOR,POR,42168,2017-10-31T02:00:00.000Z,7,9,99,5,13,54,23,42.6,26,8,30.8,80,31,38.8,19,15,79.0,0,0,0,0,0,15,14,15,0,15,14,-14,13,85,34,13,47,0,1,0,0,POR,97
POR,UTA,43370,2017-11-02T01:00:00.000Z,8,8,112,8,17,59,28,47.5,34,9,26.5,93,37,39.8,27,20,74.1,0,0,0,0,0,25,21,25,0,26,21,-9,17,103,46,15,61,0,1,0,0,POR,97
LAL,POR,42187,2017-11-03T02:30:00.000Z,4,8,110,7,12,64,31,48.4,22,9,40.9,86,40,46.5,27,24,88.9,0,0,0,0,0,21,20,21,0,21,20,3,22,113,33,15,49,0,0,1,1,POR,97
OKL,POR,42213,2017-11-06T02:00:00.000Z,7,2,99,6,21,54,30,55.6,20,7,35.0,74,37,50.0,28,22,78.6,0,0,0,0,0,20,27,20,0,20,27,4,20,103,41,14,56,0,0,1,1,POR,97
MEM,POR,42227,2017-11-08T03:00:00.000Z,1,10,98,9,16,62,30,48.4,19,6,31.6,81,36,44.4,20,19,95.0,0,0,0,0,0,18,21,18,0,18,21,-1,11,97,33,14,47,0,1,0,0,POR,97
BRO,POR,42245,2017-11-11T03:00:00.000Z,4,4,101,4,10,72,32,44.4,23,8,34.8,95,40,42.1,11,9,81.8,0,0,0,0,0,17,13,17,0,17,13,-4,17,97,45,16,61,0,1,0,0,POR,97
DEN,POR,42267,2017-11-14T03:00:00.000Z,5,2,82,12,21,52,31,59.6,21,7,33.3,73,38,52.0,18,16,88.9,0,0,0,0,0,18,16,18,1,18,16,17,22,99,37,10,48,0,0,1,1,POR,97
ORL,POR,42282,2017-11-16T03:00:00.000Z,2,4,94,7,12,60,24,40.0,27,14,51.8,87,38,43.7,13,9,69.2,0,0,0,0,0,10,16,10,0,11,16,5,21,99,34,19,53,0,0,1,1,POR,97
POR,SAC,43376,2017-11-18T03:00:00.000Z,1,5,86,8,17,56,23,41.1,25,7,28.0,81,30,37.0,16,15,93.8,0,0,0,0,0,20,22,20,0,20,22,-4,13,82,36,16,52,0,1,0,0,POR,97
SAC,POR,42303,2017-11-19T03:00:00.000Z,8,4,90,6,18,49,28,57.1,21,10,47.6,70,38,54.3,21,16,76.2,0,0,0,0,0,22,24,22,0,23,24,12,19,102,43,8,51,0,0,1,1,POR,97
POR,MEM,42315,2017-11-21T01:00:00.000Z,9,9,92,1,15,68,27,39.7,15,6,40.0,83,33,39.8,32,28,87.5,0,0,0,0,0,23,26,23,1,23,26,8,11,100,49,22,71,0,0,1,1,POR,97
POR,PHI,42322,2017-11-23T00:00:00.000Z,6,8,101,8,17,63,23,36.5,26,7,26.9,89,30,33.7,24,14,58.3,0,0,0,0,0,17,21,17,0,17,21,-20,14,81,41,20,61,0,1,0,0,POR,97
POR,BRO,42336,2017-11-24T17:00:00.000Z,13,6,125,5,7,81,42,51.8,15,6,40.0,96,48,50.0,35,25,71.4,0,0,0,0,0,16,22,16,0,16,22,2,24,127,35,21,56,0,0,1,1,POR,97
POR,WAS,42348,2017-11-26T00:00:00.000Z,6,4,105,3,16,56,32,57.1,24,9,37.5,80,41,51.2,22,17,77.3,0,0,0,0,0,16,17,16,1,16,17,3,18,108,37,10,47,0,0,1,1,POR,97
POR,NYK,42362,2017-11-28T00:30:00.000Z,3,3,91,10,9,62,30,48.4,21,7,33.3,83,37,44.6,26,22,84.6,0,0,0,0,0,23,20,23,1,23,20,12,18,103,42,12,54,0,0,1,1,POR,97
MIL,POR,42385,2017-12-01T03:00:00.000Z,3,5,103,5,19,60,29,48.3,23,6,26.1,83,35,42.2,17,15,88.2,0,0,0,0,0,14,20,14,0,16,20,-12,17,91,40,15,55,0,1,0,0,POR,97
NOP,POR,42402,2017-12-03T03:00:00.000Z,3,3,123,6,5,70,36,51.4,35,11,31.4,105,47,44.8,11,11,100.0,0,0,0,0,0,17,16,17,0,18,16,-7,20,116,37,13,51,0,1,0,0,POR,97
WAS,POR,42421,2017-12-06T03:00:00.000Z,5,6,106,2,18,51,20,39.2,27,12,44.4,78,32,41.0,21,16,76.2,0,0,0,0,0,20,22,20,0,20,22,-14,18,92,35,15,50,0,1,0,0,POR,97
HOU,POR,42453,2017-12-10T03:00:00.000Z,5,2,124,4,15,47,27,57.4,41,18,43.9,88,45,51.1,12,9,75.0,0,0,0,0,0,28,17,28,0,29,17,-7,19,117,29,16,45,0,1,0,0,POR,97
POR,GSW,42464,2017-12-12T03:30:00.000Z,2,9,111,11,9,60,30,50.0,28,7,25.0,88,37,42.0,25,23,92.0,0,0,0,0,0,18,16,18,0,18,16,-7,14,104,28,15,43,0,1,0,0,POR,97
POR,MIA,42477,2017-12-14T00:30:00.000Z,2,1,95,7,11,44,26,59.1,28,10,35.7,72,36,50.0,23,20,87.0,0,0,0,0,0,21,21,21,0,21,21,7,14,102,28,10,38,0,0,1,1,POR,97
POR,ORL,42491,2017-12-16T00:00:00.000Z,9,3,88,7,14,68,29,42.6,18,8,44.4,86,37,43.0,15,13,86.7,0,0,0,0,0,20,18,20,0,20,18,7,18,95,39,12,51,0,0,1,1,POR,97
POR,CHA,42498,2017-12-17T00:00:00.000Z,3,3,91,2,19,56,27,48.2,24,10,41.7,80,37,46.2,18,9,50.0,0,0,0,0,0,21,21,21,0,21,21,2,19,93,48,13,61,0,0,1,1,POR,97
POR,MIN,42516,2017-12-19T01:00:00.000Z,8,2,108,6,17,60,36,60.0,24,10,41.7,84,46,54.8,5,5,100.0,0,0,0,0,0,19,14,19,0,20,14,-1,26,107,34,11,45,0,1,0,0,POR,97
SAS,POR,42532,2017-12-21T03:00:00.000Z,2,9,93,12,8,71,32,45.1,25,6,24.0,96,38,39.6,14,9,64.3,0,0,0,0,0,14,16,14,0,14,16,-2,18,91,28,18,46,0,1,0,0,POR,97
DEN,POR,42547,2017-12-23T03:00:00.000Z,4,10,102,6,9,61,29,47.5,22,6,27.3,83,35,42.2,16,9,56.2,0,0,0,0,0,19,13,19,0,19,13,-17,15,85,26,18,44,0,1,0,0,POR,97
POR,LAL,42560,2017-12-24T02:30:00.000Z,8,3,92,7,11,70,29,41.4,25,10,40.0,95,39,41.0,14,7,50.0,0,0,0,0,0,15,22,15,0,15,22,3,19,95,40,18,58,0,0,1,1,POR,97
PHI,POR,42589,2017-12-29T03:30:00.000Z,3,2,110,7,15,51,27,52.9,24,8,33.3,75,35,46.7,47,36,76.6,0,0,0,0,0,18,26,18,0,18,26,4,15,114,41,19,60,0,0,1,1,POR,97
POR,ATL,42602,2017-12-31T00:30:00.000Z,8,3,104,9,20,60,29,48.3,25,7,28.0,85,36,42.4,13,10,76.9,0,0,0,0,0,18,16,18,0,19,16,-15,19,89,35,18,53,0,1,0,0,POR,97
POR,CHI,42617,2018-01-02T01:00:00.000Z,5,7,120,7,8,75,33,44.0,33,14,42.4,108,47,43.5,18,16,88.9,0,0,0,0,0,16,21,16,0,16,21,4,25,124,43,16,59,0,0,1,1,POR,97
POR,CLE,42618,2018-01-03T00:00:00.000Z,5,4,127,5,15,58,29,50.0,32,13,40.6,90,42,46.7,19,13,68.4,0,0,0,0,0,29,17,29,0,30,17,-17,25,110,31,20,51,0,1,0,0,POR,97
ATL,POR,42645,2018-01-06T03:00:00.000Z,5,5,89,11,15,50,30,60.0,30,13,43.3,80,43,53.8,14,11,78.6,0,0,0,0,0,20,16,20,0,20,16,21,30,110,41,9,50,0,0,1,1,POR,97
SAS,POR,42658,2018-01-08T02:00:00.000Z,5,5,110,7,9,69,40,58.0,23,8,34.8,92,48,52.2,10,7,70.0,0,0,0,0,0,24,16,24,0,24,16,1,19,111,30,13,43,0,0,1,1,POR,97
POR,OKL,42669,2018-01-10T01:00:00.000Z,2,4,106,10,15,58,33,56.9,23,10,43.5,81,43,53.1,26,21,80.8,0,0,0,0,0,20,17,20,0,20,17,11,19,117,35,14,50,0,0,1,1,POR,97
POR,HOU,42679,2018-01-11T01:00:00.000Z,6,5,121,5,12,57,31,54.4,26,9,34.6,83,40,48.2,32,23,71.9,0,0,0,0,0,26,30,26,0,27,30,-9,21,112,38,17,55,0,1,0,0,POR,97
POR,NOP,42693,2018-01-13T01:00:00.000Z,6,6,119,13,11,59,33,55.9,42,12,28.6,101,45,44.6,14,11,78.6,0,0,0,0,0,22,16,22,0,22,16,-6,24,113,27,21,48,0,1,0,0,POR,97
POR,MIN,42706,2018-01-15T02:00:00.000Z,3,3,120,6,17,54,28,51.8,25,11,44.0,79,39,49.4,17,14,82.4,0,0,0,0,0,28,17,28,0,29,17,-17,19,103,31,10,41,0,1,0,0,POR,97
PHX,POR,42721,2018-01-17T03:00:00.000Z,6,3,111,7,9,56,29,51.8,35,17,48.6,91,46,50.6,10,9,90.0,0,0,0,0,0,16,15,16,0,17,15,7,21,118,35,13,48,0,0,1,1,POR,97
IND,POR,42735,2018-01-19T03:00:00.000Z,7,4,86,6,11,62,27,43.6,32,10,31.2,94,37,39.4,16,16,100.0,0,0,0,0,0,11,16,11,0,12,16,14,17,100,46,18,64,0,0,1,1,POR,97
DAL,POR,42751,2018-01-21T03:00:00.000Z,3,5,108,3,14,50,27,54.0,36,18,50.0,86,45,52.3,10,9,90.0,0,0,0,0,0,23,21,23,0,25,21,9,19,117,33,12,45,0,0,1,1,POR,97
POR,DEN,42763,2018-01-23T02:00:00.000Z,6,8,104,11,11,60,28,46.7,25,8,32.0,85,36,42.4,26,21,80.8,0,0,0,0,0,22,20,22,0,22,20,-3,19,101,35,16,51,0,1,0,0,POR,97
MIN,POR,42777,2018-01-25T03:00:00.000Z,1,2,114,4,10,51,28,54.9,31,17,54.8,82,45,54.9,21,16,76.2,0,0,0,0,0,16,14,16,0,16,14,9,24,123,31,12,43,0,0,1,1,POR,97
POR,DAL,42791,2018-01-27T01:30:00.000Z,6,3,93,4,14,49,29,59.2,30,10,33.3,79,39,49.4,23,19,82.6,0,0,0,0,0,18,19,18,0,18,19,14,20,107,45,14,59,0,0,1,1,POR,97
POR,LAC,42821,2018-01-31T03:30:00.000Z,6,7,96,12,12,68,23,33.8,30,13,43.3,98,36,36.7,22,19,86.4,0,0,0,0,0,21,17,21,0,21,17,8,21,104,42,23,65,0,0,1,1,POR,97
CHI,POR,42828,2018-02-01T03:00:00.000Z,6,4,108,3,17,50,31,62.0,32,15,46.9,82,46,56.1,20,17,85.0,0,0,0,0,0,20,16,20,0,20,16,16,21,124,44,13,57,0,0,1,1,POR,97
POR,TOR,42838,2018-02-03T00:30:00.000Z,3,4,130,4,10,52,30,57.7,21,7,33.3,73,37,50.7,33,24,72.7,0,0,0,0,0,15,23,15,0,15,23,-25,20,105,34,14,48,0,1,0,0,POR,97
POR,BOS,42853,2018-02-04T17:00:00.000Z,9,6,97,4,8,60,23,38.3,31,13,41.9,91,36,39.6,14,11,78.6,0,0,0,0,0,17,16,17,0,17,16,-1,21,96,37,15,52,0,1,0,0,POR,97
POR,DET,42860,2018-02-06T00:00:00.000Z,4,4,111,10,13,61,27,44.3,33,10,30.3,94,37,39.4,8,7,87.5,0,0,0,0,0,14,14,14,0,15,14,-20,18,91,31,16,47,0,1,0,0,POR,97
CHA,POR,42883,2018-02-09T03:00:00.000Z,7,3,103,7,17,59,32,54.2,31,9,29.0,90,41,45.6,22,18,81.8,0,0,0,0,0,19,16,19,0,19,16,6,18,109,49,13,62,0,0,1,1,POR,97
POR,SAC,42894,2018-02-10T03:30:00.000Z,4,3,100,10,11,53,28,52.8,35,15,42.9,88,43,48.9,18,17,94.4,0,0,0,0,0,21,19,21,0,21,19,18,18,118,37,15,52,0,0,1,1,POR,97
UTA,POR,42909,2018-02-12T02:00:00.000Z,4,4,115,7,13,56,24,42.9,25,9,36.0,81,33,40.7,25,21,84.0,0,0,0,0,0,22,22,22,1,22,22,-19,16,96,31,9,40,0,1,0,0,POR,97
GSW,POR,42933,2018-02-15T03:30:00.000Z,0,7,117,9,13,60,33,55.0,33,12,36.4,93,45,48.4,24,21,87.5,0,0,0,0,0,18,24,18,0,18,24,6,20,123,39,17,56,0,0,1,1,POR,97
POR,UTA,42950,2018-02-24T02:00:00.000Z,5,6,81,11,12,63,30,47.6,24,9,37.5,87,39,44.8,14,13,92.9,0,0,0,0,0,20,13,20,0,20,13,19,14,100,34,13,47,0,0,1,1,POR,97
POR,PHX,42959,2018-02-25T02:00:00.000Z,7,10,104,6,6,69,33,47.8,30,6,20.0,99,39,39.4,30,22,73.3,0,0,0,0,0,19,24,19,0,19,24,2,15,106,38,19,57,0,0,1,1,POR,97
SAC,POR,42980,2018-02-28T03:00:00.000Z,2,4,99,10,17,50,29,58.0,34,15,44.1,84,44,52.4,17,13,76.5,0,0,0,0,0,15,12,15,0,15,12,17,27,116,40,13,53,0,0,1,1,POR,97
MIN,POR,42994,2018-03-02T03:30:00.000Z,6,7,99,9,8,62,27,43.6,30,9,30.0,92,36,39.1,35,27,77.1,0,0,0,0,0,18,24,18,0,18,24,9,17,108,39,21,60,0,0,1,1,POR,97
OKL,POR,43011,2018-03-04T03:00:00.000Z,8,6,100,6,15,55,28,50.9,33,11,33.3,88,39,44.3,23,19,82.6,0,0,0,0,0,21,21,21,0,21,21,8,20,108,37,19,56,0,0,1,1,POR,97
POR,LAL,43025,2018-03-06T03:30:00.000Z,4,7,103,6,14,60,25,41.7,23,10,43.5,83,35,42.2,38,28,73.7,0,0,0,0,0,25,24,25,1,25,24,5,19,108,46,16,62,0,0,1,1,POR,97
NYK,POR,43031,2018-03-07T03:00:00.000Z,4,7,87,4,19,48,15,31.2,33,20,60.6,81,35,43.2,24,21,87.5,0,0,0,0,0,15,19,15,0,15,19,24,22,111,40,17,58,0,0,1,1,POR,97
GSW,POR,43053,2018-03-10T03:00:00.000Z,2,3,108,4,11,50,28,56.0,39,16,41.0,89,44,49.4,27,21,77.8,0,0,0,0,0,17,20,17,0,17,20,17,21,125,33,22,55,0,0,1,1,POR,97
MIA,POR,43064,2018-03-13T02:30:00.000Z,6,4,99,5,12,47,24,51.1,36,14,38.9,83,38,45.8,30,25,83.3,0,0,0,0,0,15,24,15,0,15,24,16,23,115,42,14,56,0,0,1,1,POR,97
CLE,POR,43088,2018-03-16T02:00:00.000Z,3,7,105,4,7,61,31,50.8,35,12,34.3,96,43,44.8,19,15,79.0,0,0,0,0,0,17,21,17,0,17,21,8,26,113,39,19,58,0,0,1,1,POR,97
DET,POR,43104,2018-03-18T02:00:00.000Z,8,2,87,8,11,56,30,53.6,31,8,25.8,87,38,43.7,18,16,88.9,0,0,0,0,0,17,16,17,0,17,16,13,23,100,42,15,57,0,0,1,1,POR,97
POR,LAC,43109,2018-03-19T02:30:00.000Z,6,3,109,7,13,63,32,50.8,29,14,48.3,92,46,50.0,20,16,80.0,0,0,0,0,0,22,17,22,0,22,17,13,24,122,40,17,57,0,0,1,1,POR,97
HOU,POR,43124,2018-03-21T02:30:00.000Z,7,4,115,6,8,53,29,54.7,28,11,39.3,81,40,49.4,27,20,74.1,0,0,0,0,0,19,23,19,0,19,23,-4,20,111,34,14,48,0,1,0,0,POR,97
BOS,POR,43146,2018-03-24T02:00:00.000Z,5,4,105,8,8,58,32,55.2,33,8,24.2,91,40,44.0,15,12,80.0,0,0,0,0,0,20,18,20,0,20,18,-5,16,100,32,17,49,0,1,0,0,POR,97
POR,OKL,43160,2018-03-25T23:00:00.000Z,7,5,105,8,13,56,33,58.9,34,9,26.5,90,42,46.7,19,15,79.0,0,0,0,0,0,19,19,19,0,21,19,3,20,108,34,21,55,0,0,1,1,POR,97
POR,NOP,43170,2018-03-28T00:00:00.000Z,7,10,103,11,10,73,34,46.6,32,10,31.2,105,44,41.9,10,9,90.0,0,0,0,0,0,17,19,17,0,17,19,4,20,107,34,18,52,0,0,1,1,POR,97
POR,MEM,43179,2018-03-29T00:00:00.000Z,8,2,108,7,12,49,30,61.2,30,8,26.7,79,38,48.1,30,19,63.3,0,0,0,0,0,20,24,20,0,20,24,-5,15,103,32,16,48,0,1,0,0,POR,97
LAC,POR,43196,2018-03-31T02:30:00.000Z,10,5,96,9,10,65,33,50.8,30,8,26.7,95,41,43.2,16,15,93.8,0,0,0,0,0,26,16,26,0,26,16,9,30,105,40,18,58,0,0,1,1,POR,97
MEM,POR,43214,2018-04-02T01:00:00.000Z,2,5,98,9,13,46,27,58.7,38,12,31.6,84,39,46.4,25,23,92.0,0,0,0,0,0,15,19,15,0,15,19,15,28,113,37,13,50,0,0,1,1,POR,97
POR,DAL,43224,2018-04-04T00:30:00.000Z,2,5,115,6,13,47,29,61.7,40,10,25.0,87,39,44.8,24,21,87.5,0,0,0,0,0,20,16,20,0,20,16,-6,28,109,43,13,56,0,1,0,0,POR,97
POR,HOU,43236,2018-04-06T00:00:00.000Z,2,5,96,10,18,63,32,50.8,22,7,31.8,85,39,45.9,14,9,64.3,0,0,0,0,0,20,16,20,0,20,16,-2,16,94,36,18,54,0,1,0,0,POR,97
POR,SAS,43256,2018-04-08T01:00:00.000Z,5,3,116,4,13,60,31,51.7,28,11,39.3,88,42,47.7,11,10,90.9,0,0,0,0,0,17,12,17,0,18,12,-11,18,105,32,13,45,0,1,0,0,POR,97
POR,DEN,43271,2018-04-10T01:00:00.000Z,2,5,88,8,17,61,24,39.3,33,7,21.2,94,31,33.0,18,13,72.2,0,0,0,0,0,28,18,28,0,28,18,-6,10,82,41,24,65,0,1,0,0,POR,97
UTA,POR,43290,2018-04-12T02:30:00.000Z,9,7,93,9,10,65,32,49.2,24,9,37.5,89,41,46.1,16,11,68.8,0,0,0,0,0,23,19,23,0,24,19,9,19,102,41,11,52,0,0,1,1,POR,97
LAL,POR,47585,2018-10-19T02:30:00.000Z,10,7,119,9,16,63,31,49.2,37,13,35.1,100,44,44.0,29,27,93.1,0,0,0,0,0,26,26,26,0,26,26,9,21,128,42,18,60,0,0,1,1,POR,97
SAS,POR,47603,2018-10-21T02:00:00.000Z,3,4,108,5,12,52,30,57.7,32,15,46.9,84,45,53.6,19,16,84.2,0,0,0,0,0,14,17,14,0,14,17,13,24,121,42,12,54,0,0,1,1,POR,97
WAS,POR,47615,2018-10-23T02:00:00.000Z,4,7,125,6,19,69,32,46.4,39,11,28.2,108,43,39.8,31,27,87.1,0,0,0,0,0,23,27,23,0,23,27,-1,22,124,56,27,83,0,1,0,0,POR,97
POR,ORL,47633,2018-10-25T23:00:00.000Z,6,7,114,6,10,60,37,61.7,27,11,40.7,87,48,55.2,26,21,80.8,0,0,0,0,0,23,21,23,0,23,21,14,24,128,33,14,47,0,0,1,1,POR,97
POR,MIA,47648,2018-10-28T00:00:00.000Z,8,8,120,7,9,55,25,45.4,33,12,36.4,88,37,42.0,28,25,89.3,0,0,0,0,0,26,21,26,0,26,21,-9,14,111,37,12,49,0,1,0,0,POR,97
POR,IND,47656,2018-10-29T23:00:00.000Z,3,5,93,3,18,52,28,53.8,26,10,38.5,78,38,48.7,18,17,94.4,0,0,0,0,0,23,20,23,0,24,20,10,19,103,41,11,52,0,0,1,1,POR,97
